content,date,dianzan,director,name,region,star,type,user_id
也就只是部爆米花电影,2018-07-17,143,罗森·马歇尔·瑟伯,摩天营救,美国,allstar20 rating,"动作,惊悚,冒险",顾詞

说到底就是整栋楼的好人都是强森救的，整栋楼的火都是强森老婆灭的。我就想问问建造这栋楼的所有科学家和工程师，为什么reboot system只在一个平板上可以操作？（不能因为剧情拉低预算燃烧的特效，可是我还是给了两星，因为我就是这么一个不喜欢严重偏科的观影者！,2018-07-14,157,罗森·马歇尔·瑟伯,摩天营救,美国,allstar20 rating,"动作,惊悚,冒险",李阿斗

昆凌的妆容真的蛮酷的,2018-07-20,145,罗森·马歇尔·瑟伯,摩天营救,美国,allstar40 rating,"动作,惊悚,冒险",七七

作为一个恐高症患者，看这片真是自虐啊。,2018-07-03,134,罗森·马歇尔·瑟伯,摩天营救,美国,allstar30 rating,"动作,惊悚,冒险",阿暖

虎胆龙威+火烧摩天楼，依旧是模式化故事和脸谱化角色，但紧张效果还是有的。断腿的强森+更高的楼，外面蹦极里面着火，好比把闯关游戏调成地狱难度。节奏感一流，吊车戏、楼外绳索两场虽然是CG背景，但恐高效果很棒，大银幕看手心出汗。PS，最好选好点的电影院，因为电影全程黑夜+3D，你懂得,2018-07-03,123,罗森·马歇尔·瑟伯,摩天营救,美国,allstar30 rating,"动作,惊悚,冒险",乌鸦火堂

恐高症谨慎观看！好几个镜头吓得我摘了3D眼镜。既是好莱坞动作片，也有香港警匪片的影子，两种风格融合的比较好，昆凌饰演的反派没有景甜那种违和感。,2018-07-18,97,罗森·马歇尔·瑟伯,摩天营救,美国,allstar40 rating,"动作,惊悚,冒险",大海里的针

岩石现在的主角光环已经强到，他做什么危险动作我都毫无波澜！,2018-07-12,95,罗森·马歇尔·瑟伯,摩天营救,美国,allstar20 rating,"动作,惊悚,冒险",二火山

剧情比较套路，但是几处惊险段落真是惊到了。仍然主打家庭，强森是最靠谱的爸爸和丈夫。,2018-07-20,71,罗森·马歇尔·瑟伯,摩天营救,美国,allstar30 rating,"动作,惊悚,冒险",桃桃淘电影

只有巨石的两段高空动作戏有看头，足够让观众惊呼还能记得住。致敬《虎胆龙威》就算了，反派存在感之弱，烧大楼动机之弱智无力吐槽，连给Alan Rickman提鞋都不配，解决危机的方式更是敷衍粗暴，烧了一栋楼告诉你关机重启的重要性，烧了就重建反正有的是钱，这明明就是财大气粗升级版《冲天火》好吗...,2018-07-12,85,罗森·马歇尔·瑟伯,摩天营救,美国,allstar20 rating,"动作,惊悚,冒险",瓦力

阿汤哥看了沉默 JB看了流泪 新世纪的虎胆龙威 香港市民平凡的一天 影片的主旨十分伟大 我希望每个人都看看这部电影：） 并学习主旨；）一定要学习主旨,2018-07-12,68,罗森·马歇尔·瑟伯,摩天营救,美国,allstar50 rating,"动作,惊悚,冒险",零点

是你！光头强！,2018-07-20,47,罗森·马歇尔·瑟伯,摩天营救,美国,allstar30 rating,"动作,惊悚,冒险",巴啦啦小魔仙

当导演的门槛比导游还低了吗？,2018-06-15,4100,小沈阳,猛虫过江,中国大陆,allstar10 rating,"喜剧,动作",茉菲

烂片指示牌: 快乐家族，小沈阳，郭德纲，景甜....欢迎补充,2018-06-15,3155,小沈阳,猛虫过江,中国大陆,allstar10 rating,"喜剧,动作",Éric Jérôme

东北风小品已经滚出春晚，东北风喜剧是不是可以滚出电影界？请到网大和快手上表演，那里有适合你们的舞台。小沈阳还真以为自己是当年刚走红时？你已经OUT了，你老师都已经OUT了，在电影这个舞台！胡编乱造，凑段子，浮夸！,2018-06-15,2109,小沈阳,猛虫过江,中国大陆,allstar10 rating,"喜剧,动作",游侠一笑

想当导演是不是首先得把演员当明白？演员都没当明白竟然要去拍电影？是不是有点不要脸了？,2018-05-22,1655,小沈阳,猛虫过江,中国大陆,allstar10 rating,"喜剧,动作",钱紧

小沈阳怎么才当导演，这都算是晚的。,2018-06-15,1172,小沈阳,猛虫过江,中国大陆,allstar10 rating,"喜剧,动作",对你爱不完

演员需要演技，导演需要的是才华，我只能说这俩样你真没有,2018-06-15,1164,小沈阳,猛虫过江,中国大陆,allstar10 rating,"喜剧,动作",不死蛇叔

嗯嗯，你愿意买票是你的事,2018-06-04,1098,小沈阳,猛虫过江,中国大陆,allstar10 rating,"喜剧,动作",雨中星辰

逐梦小沈阳,2018-06-15,892,小沈阳,猛虫过江,中国大陆,allstar10 rating,"喜剧,动作",月下僵尸

就很随意的乱拍，甚至有些段落明显感觉演员要笑场或是已经笑场了，可以。,2018-06-15,801,小沈阳,猛虫过江,中国大陆,allstar10 rating,"喜剧,动作",桃桃淘电影

烂出新高度,2018-06-15,768,小沈阳,猛虫过江,中国大陆,allstar10 rating,"喜剧,动作",至尊宝

居然还在玩金链子浮水的烂梗 🐂🍺  在微博看到说这电影到了国产巅峰，您巅您🐎呢？再您🐎的见 ,2018-06-15,678,小沈阳,猛虫过江,中国大陆,allstar10 rating,"喜剧,动作",Kisame

看到评分和评论我惊呆了。记得郭德纲说过，所有的影评歌评都是一种逞强。一点没错，都是站在艺术最高峰的脑尖上俯视众人指手画脚。影评不是附和，但前提一定是尊重。这部电影一定不是顶峰，但已被踩进泥里。那些言辞犀利的，你可以否定所有人的成果，但别践踏任何人的努力。最毒不是妇人心，而是路人舌,2018-06-15,1112,小沈阳,猛虫过江,中国大陆,allstar50 rating,"喜剧,动作",金诺

这稀烂的剧情是在闹哪样？这是拍电影，不是欢乐喜剧人！再次重申：电影≠小品！（喜欢我的评论就点个关注呗）,2018-06-15,653,小沈阳,猛虫过江,中国大陆,allstar10 rating,"喜剧,动作",雪人先生

金士杰你来凑什么热闹！明眼人都看得出是烂片啊！！！,2018-06-15,414,小沈阳,猛虫过江,中国大陆,allstar20 rating,"喜剧,动作",七月的色烈芬_

十分钟不走算你强系列,2018-06-15,334,小沈阳,猛虫过江,中国大陆,allstar10 rating,"喜剧,动作",9999

华语电影三大致命毒瘤：快乐家族、德云社相声、东北二人转，为还钱包和眼睛一个公道，请自觉抵制，且感慨世风日下，活在一个导游和群演都比导演有操守的时代，艹,2018-06-15,319,小沈阳,猛虫过江,中国大陆,allstar10 rating,"喜剧,动作",姓亚名蒙

看到小沈阳都能当导演了真是让人沮丧……而且这样的电影也上映了……,2018-06-15,257,小沈阳,猛虫过江,中国大陆,allstar20 rating,"喜剧,动作",dac

现在阿猫阿狗都能来拍电影了，这个群魔乱舞的时代，眼睛不舒服,2018-06-15,241,小沈阳,猛虫过江,中国大陆,allstar10 rating,"喜剧,动作",Noodles

说这部电影是屎，都是在侮辱屎。,2018-06-19,210,小沈阳,猛虫过江,中国大陆,allstar10 rating,"喜剧,动作",凌睿

高潮部分响起《天下第一等》还是小燃了一下的，看到豆瓣被一堆无脑黑的一分拉到了3点几分还是不公平的。虽然剧作的上缺陷不少，类型元素堆得太慢、但是整个制作以及玩梗的方式还是很有诚意的，不过看起来应该是为了过审删改了不少。,2018-06-15,231,小沈阳,猛虫过江,中国大陆,allstar30 rating,"喜剧,动作",谢谢你们的鱼

外国人真是太不要脸了，竟然抄袭我国奇幻巨制《阿修罗》，然后坐时光机穿越到2011年去拍了《权力的游戏》，真是太可耻了！我国劳动人民智慧的结晶，岂能容忍一群外国人剽窃！跪求《阿修罗》去打官司，去把《权力的游戏》剧组告到破产！,2018-07-12,6443,张鹏,阿修罗,中国大陆,allstar10 rating,"动作,爱情,奇幻",凌睿

尴尬死我了，空调太冷睡不好先走了。会讲故事之前先不要花这么多钱了吧，堆砌的想象力没办法掩盖文化心虚，准有人说“这要是好莱坞电影你们还打两星吗”。和你说这要是好莱坞电影也就值一颗星，已经给了一星老乡感情分了。。。,2018-07-09,3802,张鹏,阿修罗,中国大陆,allstar20 rating,"动作,爱情,奇幻",11®

知道当年被群嘲的大烂片封神传奇我为啥给两星了吧？因为好歹它比这货强出五个白蛇传说呢！阿修罗最可怕的并不是那140分钟片长和让人一言难尽的三头人，而是它信誓旦旦地号称还要拍三部曲呢。个人建议崔永元没事也查查这片子的合同吧！,2018-07-12,3448,张鹏,阿修罗,中国大陆,allstar10 rating,"动作,爱情,奇幻",大瘦瘦

从《封神传奇》到《阿修罗》，梁家辉，你的裸贷在人家手里吗？？？求求你，别演烂片了！砸自己招牌！,2018-07-13,3197,张鹏,阿修罗,中国大陆,allstar10 rating,"动作,爱情,奇幻",表姐电影

再花时间去电影院看烂片，我就自抠双眼！！！,2018-07-11,3484,张鹏,阿修罗,中国大陆,allstar20 rating,"动作,爱情,奇幻",弓谷所長

恭喜《阿修罗》以一己之力成功把暑期档平均高分拉了下来！,2018-07-13,3026,张鹏,阿修罗,中国大陆,allstar10 rating,"动作,爱情,奇幻",朝阳区白百合

不是贫穷限制了你的想象力，而是想象力的匮乏决定你的贫穷,2018-07-13,2228,张鹏,阿修罗,中国大陆,allstar10 rating,"动作,爱情,奇幻",麦田的怪圏

拿出千分之一的经费，请一个好编剧，会死系列,2018-07-13,2077,张鹏,阿修罗,中国大陆,allstar10 rating,"动作,爱情,奇幻",拂樱斋主

《指环王》+《阿凡达》+《冰与火之歌》+《加勒比海盗》+《驯龙高手》+基督教（牧羊人）+佛教（六道轮回）+《满城尽带黄金甲》+《欢天喜地七仙女》+《封神榜》+CCTV6流金岁月节目 = 时长141分钟的“国产奇幻大片”（微笑）,2018-07-10,1935,张鹏,阿修罗,中国大陆,allstar10 rating,"动作,爱情,奇幻",始日耀燿

怪不得这么弱智，三个头共用一个脑袋，脑子肯定不够用啊。,2018-07-13,1662,张鹏,阿修罗,中国大陆,allstar20 rating,"动作,爱情,奇幻",万人非你

一味追求技术只会本末倒置，这样的教训还不够多吗,2018-07-12,1556,张鹏,阿修罗,中国大陆,allstar20 rating,"动作,爱情,奇幻",吃胶片的考拉

中不中洋不洋，畸形的产物不可能受到欢迎，指环王的精灵各种中西合璧的角色，还有哪个玛咖头是什么鬼。,2018-07-12,1103,张鹏,阿修罗,中国大陆,allstar10 rating,"动作,爱情,奇幻",血刀老祖

最后的天国好像妇产医院接待大厅，一群可爱的宝宝。然后三个头自己砍自己，砍得满脸血，我觉得刘嘉玲那句“你们这是何苦呢”喊出了我的心声。真的是，拍出这种片，何苦呢？其实我最纠结的是，梁家辉后脑勺挂的那两个假脸为什么那么小，为什么三张脸不能同样大小呢？真是整场纠结这个事。,2018-07-14,802,张鹏,阿修罗,中国大陆,allstar10 rating,"动作,爱情,奇幻",桃桃淘电影

Disastrous！ 编、导、演同步掉线，花了好莱坞的制作成本，拍了个骗小孩的国产卡通，故事都讲不利索。,2018-07-10,753,张鹏,阿修罗,中国大陆,allstar10 rating,"动作,爱情,奇幻",小鬼Bono

别打我，我觉得16岁吴磊弟弟的颜就值这个分...（其他不评价）,2018-07-13,610,张鹏,阿修罗,中国大陆,allstar40 rating,"动作,爱情,奇幻",同志亦凡人中文站

整部片子充斥着上世纪城乡结合部的风格审美 而观看时的可怕雷人程度也丝毫不逊于2016年的封神传奇,2018-07-12,655,张鹏,阿修罗,中国大陆,allstar10 rating,"动作,爱情,奇幻",一只野生叮当猫

一星半。导演是当年《富春》动作导演之一，积累过大量创作经验，但这片亏在没有浓烈的戏剧冲突，不然是可以挑战《富春》或《封神传奇》的。特效港港硬，可刘嘉玲却大喊“这是何苦呢！”,2018-07-03,549,张鹏,阿修罗,中国大陆,allstar10 rating,"动作,爱情,奇幻",法兰西胶片

快来看！2018年年度最烂片前三诞生了，感觉香港电影人现在完全搞不明白什么是电影了。,2018-07-13,565,张鹏,阿修罗,中国大陆,allstar10 rating,"动作,爱情,奇幻",芒果

为什么没有半星？这烂片前面还马虎凑合，后面越来越崩，把人看得恶心的。。。霍比特人模式、阿凡达模式、权游模式随意切换，沃卓斯基式的cult趣味配上某小鲜肉的“炸裂”演技，让人浑身鸡皮疙瘩如坐针毡。,2018-07-09,513,张鹏,阿修罗,中国大陆,allstar10 rating,"动作,爱情,奇幻",firedeep

在我们学校放的，具体哪个学校就不说了，真的尴尬得要死，是坨屎就别去看了。,2018-07-11,460,张鹏,阿修罗,中国大陆,allstar10 rating,"动作,爱情,奇幻",胖胖胖胖胖胖胖

一般影院是不会播的，除非够二，够烂,2018-07-20,11,王俊翔,闺蜜的战争,中国大陆,allstar10 rating,"剧情,喜剧,爱情",呆萌小七

已经不能用毁三观形容了！,2018-07-20,9,王俊翔,闺蜜的战争,中国大陆,allstar10 rating,"剧情,喜剧,爱情",七七

毕志飞的位子坐不住了。,2018-07-20,11,王俊翔,闺蜜的战争,中国大陆,allstar10 rating,"剧情,喜剧,爱情",法棍老人

这是什么电影啊，好烂。,2018-07-20,6,王俊翔,闺蜜的战争,中国大陆,allstar10 rating,"剧情,喜剧,爱情",爱吃地瓜

口水电影…,2018-07-03,3,王俊翔,闺蜜的战争,中国大陆,allstar10 rating,"剧情,喜剧,爱情",冯兔兔

又在黑闺蜜这个词儿了,2018-07-24,1,王俊翔,闺蜜的战争,中国大陆,allstar10 rating,"剧情,喜剧,爱情",猫小森

给神片跪了,2018-07-23,0,王俊翔,闺蜜的战争,中国大陆,allstar10 rating,"剧情,喜剧,爱情",厂长打烂个蒸钵

什么玩意……烂到无法形容,2018-07-23,0,王俊翔,闺蜜的战争,中国大陆,allstar10 rating,"剧情,喜剧,爱情",Enid

男主去拍gay片，评分和观影人数都不只这一点，哈哈哈,2018-07-23,0,王俊翔,闺蜜的战争,中国大陆,allstar20 rating,"剧情,喜剧,爱情",牛浪

烂度赶超毕屎飞导演,2018-07-22,0,王俊翔,闺蜜的战争,中国大陆,,"剧情,喜剧,爱情",老设鬼

你让我看一群下九流演技的〝演员〞撕哔？,2018-07-10,1,王俊翔,闺蜜的战争,中国大陆,allstar10 rating,"剧情,喜剧,爱情",太多。

和毕志飞导演有得一拼了,2018-07-20,0,王俊翔,闺蜜的战争,中国大陆,allstar10 rating,"剧情,喜剧,爱情",小饼干

不是烂片我直播吃一楼的电影票，送我上去！,2018-07-20,1,王俊翔,闺蜜的战争,中国大陆,,"剧情,喜剧,爱情",无限风暴

朋友们，我几乎是逃出影厅的！,2018-06-05,845,冯巩,幸福马上来,中国大陆,allstar10 rating,喜剧,虎哥

重庆风味的春晚大电影。看到了在健身和洗澡的刘昊然，大概是最有价值的一部分了吧。不要好奇为何冯巩生出了刘昊然，毕竟妈妈是牛莉啊，保养的也太好了吧！孙二香的声音谜之像蒋雯丽。单凭冯巩一把年纪不用替身拍动作戏，也该被尊重。,2018-06-06,712,冯巩,幸福马上来,中国大陆,allstar30 rating,喜剧,一口吃掉小蛋糕

不知道怎么回事，看到有刘昊然就想进电影院。。。,2018-06-08,407,冯巩,幸福马上来,中国大陆,allstar40 rating,喜剧,原木

2星半。冯巩晚节不保之作。1.放cctv6白天播已是极限。2.一群北方人说巴蜀方言太尬，本片超过70%的口型配音对不上，配合3毛特效，low。3.90年代内地笑星大集合。4.牛莉请你和观众解释下你的双眼皮。5.从剪辑逻辑，角色关系到人物动机，颇有《逐梦演艺圈》的风骨，拼凑感极强。6.刘昊然是用来洗眼的。,2018-06-08,189,冯巩,幸福马上来,中国大陆,allstar20 rating,喜剧,what'swilliam

给两星，有一星还是给冯巩的情怀和刘昊然的参演。整部电影从故事到表演到搞笑到拍摄都透着一股过时的气息。冯巩是演过《那五》《站直啰，别趴下》的人，不是为了满足自己的影视梦，看到最近才发现他是为了满足自己的成龙梦啊！,2018-06-05,176,冯巩,幸福马上来,中国大陆,allstar20 rating,喜剧,惘然

主演刘昊然，镜头加起来可能不超过五分钟，这么骗我钱的吗！可我也真的舍不得给昊然弟弟的片子打一星，两星全部给昊然弟弟，怎么能这么青春呢,2018-06-08,181,冯巩,幸福马上来,中国大陆,allstar20 rating,喜剧,沫酱

演小品的也来凑热闹？男主马尚来这么乐于助人的动机是什么？贾玲夫妻每次吵架只要男主出现挨打就行？全片几个纠纷调解也看不出来男主有什么用，问题莫名的开始，莫名的解决，还出现莫名其妙的功夫，整部片子都在尴尬的搞笑，而且一群北方爷们讲四川话，听着别扭死了。最后，刘昊然的角色存在是干嘛的？,2018-06-08,133,冯巩,幸福马上来,中国大陆,allstar10 rating,喜剧,Oumuamua

尴尬,2018-06-08,114,冯巩,幸福马上来,中国大陆,allstar10 rating,喜剧,轻舟

一星给冯巩，一星给昊然弟弟。,2018-06-09,91,冯巩,幸福马上来,中国大陆,allstar20 rating,喜剧,姬月梅

现在真是什么牛鬼蛇神都能拍电影了，真让人恶心,2018-06-07,70,冯巩,幸福马上来,中国大陆,allstar10 rating,喜剧,孟宇弟弟

给一颗星都是因为刘昊然在,2018-06-08,77,冯巩,幸福马上来,中国大陆,allstar10 rating,喜剧,韶华未既

岳云鹏延续了部部皆烂片的规律，而刘昊然打破了自己的选片好眼光。在电影里穿插小品段子如果还不算可怕的话，那小品段子里一句重庆话一句普通话一定可以让你绝望。,2018-06-08,65,冯巩,幸福马上来,中国大陆,allstar10 rating,喜剧,AZWayne

后1个小时和朋友默契的刷起了微博，没有离场真的都是昊然在支撑着我们。唉，弟弟真的只是客串，现在回头看到海报莫名恐慌，这个分昊然不背_(:з」∠)_,2018-06-08,66,冯巩,幸福马上来,中国大陆,allstar10 rating,喜剧,shirohime

冯巩能生出刘昊然这么帅的儿子？怕不是隔壁老王的吧,2018-05-12,49,冯巩,幸福马上来,中国大陆,allstar10 rating,喜剧,剪辑师邑尘

剧情老套尴尬,2018-06-10,22,冯巩,幸福马上来,中国大陆,allstar10 rating,喜剧,热锅上的蚂蚁

打上我昊然弟弟的名字就是为了骗票房的吧。,2018-06-09,52,冯巩,幸福马上来,中国大陆,allstar10 rating,喜剧,Media naranja

冯巩老师领衔的诸位喜剧演员没毛病 能看出来大家都拿出了上春晚的态度在表演 一把年纪拍动作戏也真的很敬业了 缺点太多就不评了 最后想说 刘昊然真的只是客串 全部镜头加起来不超3min 但是宣发把他p在海报那么重要的位置 不难推测是什么居心 18岁的小刘还是很美好马晓的完成度可以了,2018-06-09,54,冯巩,幸福马上来,中国大陆,allstar20 rating,喜剧,花五夜

两星不能再多了。第一次在电影院玩手机。都是为了刘昊然。,2018-06-08,51,冯巩,幸福马上来,中国大陆,allstar20 rating,喜剧,鱼鱼鱼鱼

故事是可以的，人物有点脸谱化了，太过于薄弱，电影剪辑太差了，跳脱感十分强烈，前半段太散乱了。,2018-06-08,31,冯巩,幸福马上来,中国大陆,allstar20 rating,喜剧,吧唧吧唧嗝

故事剪辑很差，情节也非常散，剧情也不搞笑，二星给冯巩。,2018-06-09,22,冯巩,幸福马上来,中国大陆,allstar20 rating,喜剧,苹果

百分百的碟市水平烂货，渣滓特效，野鸡导演，18线阵容，无脑剧本，引进这种电影来内地放映的片方应该被判死刑。,2018-06-16,2346,史蒂芬·C·米勒,金蝉脱壳2：冥府,"美国, 中国大陆",allstar10 rating,"动作,惊悚",谢谢你们的鱼

当第一次看清黄晓明替身的脸后，我对这部片的质量有了初步判断；当第二次看清黄晓明替身的脸后，我对这部片失去了一大部分兴趣；当第三次看清黄晓明替身的脸后，我确定了这部片的分数。,2018-06-15,1696,史蒂芬·C·米勒,金蝉脱壳2：冥府,"美国, 中国大陆",allstar10 rating,"动作,惊悚",痞影人科莱昂

说这片跟前作不是一个系列我也信，五毛特效，剧情奇烂，黄晓明各种耍帅特写，导演不愧是烂片专业户。可惜这个系列跟《死亡飞车》一样，开篇打响名气，接下来就是走小众烂片自嗨的路线了。另外这片国外发碟国内院线，2还没上映3已经拍了，一个黄晓明一个张晋，摆明了中国特供，花钱看纯粹是交智商税！,2018-06-16,1417,史蒂芬·C·米勒,金蝉脱壳2：冥府,"美国, 中国大陆",allstar20 rating,"动作,惊悚",大海里的针

纯垃圾，史泰龙也没底线了，黄小明你们两口子能不能别再出来祸害电影了！,2018-06-17,1319,史蒂芬·C·米勒,金蝉脱壳2：冥府,"美国, 中国大陆",allstar10 rating,"动作,惊悚",Werewolf

教主的演技跟打戏就跟他的英文一样尴尬，片名应叫《咏春小明历险记》！前面一小时4倍快进都嫌难看，史泰龙根本是打酱油的，再配上烂到家的剧情和特效，北美不上院线走碟片是明智之举，恭喜教主离国际市场又远了一步，求以后这种挂羊头卖狗肉的山寨伪西片少点拿来骗人！,2018-06-17,1001,史蒂芬·C·米勒,金蝉脱壳2：冥府,"美国, 中国大陆",allstar10 rating,"动作,惊悚",姓亚名蒙

这片子两毛五特效外加教主一言难尽的二头肌，哎，好端端一个电影非得拍续集，还全系中国元素，尴尬！,2018-06-17,577,史蒂芬·C·米勒,金蝉脱壳2：冥府,"美国, 中国大陆",allstar10 rating,"动作,惊悚",不求上進的浩子

练咏春的晓明去拜师史泰龙学越狱了，他虽然武功高强，但最怕电击疗法，对了，一起凑热闹的还有来自银河护卫队的德拉克斯。看完后的感觉是，这是一部预告比影片精彩的作品，从不怎么被宣传的晓明才是主角，史泰龙可是男二哈。比《深海越狱》好那么一点点，真的是一点点。这个暑假怎么回事，都在砸招牌？,2018-06-15,453,史蒂芬·C·米勒,金蝉脱壳2：冥府,"美国, 中国大陆",allstar20 rating,"动作,惊悚",方枪枪

看了前面十分钟睡着了，希望豆瓣除了“想看”“在看”和“看过”之外再弄一个“看不下去”,2018-06-18,482,史蒂芬·C·米勒,金蝉脱壳2：冥府,"美国, 中国大陆",allstar10 rating,"动作,惊悚",夏之瑶光

这个特供片真是侮辱人的智商，逻辑何在？,2018-06-17,443,史蒂芬·C·米勒,金蝉脱壳2：冥府,"美国, 中国大陆",allstar20 rating,"动作,惊悚",任平生

片子是很烂，但我觉得不该黄晓明背锅。请无脑黑冷静一点，这种大型无聊现场，谁来都一样。剪辑快，时效短，动作戏完全处于精彩的对立面。再加上剧情巨无聊，本片就是与烂同行。1,2018-06-16,279,史蒂芬·C·米勒,金蝉脱壳2：冥府,"美国, 中国大陆",allstar10 rating,"动作,惊悚",寄它

名副其实的美国网大，浪费了1创造的概念设定，实在不明白为什么要拍那么多近景特写,2018-06-16,218,史蒂芬·C·米勒,金蝉脱壳2：冥府,"美国, 中国大陆",allstar20 rating,"动作,惊悚",metaphor17

五毛特效，网大水平，全程就™看黄晓明装逼,2018-06-16,178,史蒂芬·C·米勒,金蝉脱壳2：冥府,"美国, 中国大陆",allstar10 rating,"动作,惊悚",大侠一根筋

为什么不直白一点叫晓明传，里面十八线角色给的反应也不对，这剧情还好意思叫2。,2018-06-18,124,史蒂芬·C·米勒,金蝉脱壳2：冥府,"美国, 中国大陆",allstar10 rating,"动作,惊悚",荔枝白羊悅

剧本垃圾到让人无力吐糟，和第一部简直没法比，根本不是一个系列。黄晓明根本不会演戏，从头到尾只有一个表情，看得火大。,2018-06-18,162,史蒂芬·C·米勒,金蝉脱壳2：冥府,"美国, 中国大陆",allstar10 rating,"动作,惊悚",Cat

跨国大制作，可以,2018-06-30,115,史蒂芬·C·米勒,金蝉脱壳2：冥府,"美国, 中国大陆",allstar10 rating,"动作,惊悚",桃桃淘电影

你们别黑黄晓明了，他真的是一个很优秀的演员，像他这样能从头到尾用同一个表情演完整部电影的演员已经不多了。,2018-07-01,125,史蒂芬·C·米勒,金蝉脱壳2：冥府,"美国, 中国大陆",allstar10 rating,"动作,惊悚",凌睿

"太难看了！什么jb鬼剧情，还有这垃圾特效,连国产网大都不如. 几个中国人说话为啥要尬英文...",2018-06-16,147,史蒂芬·C·米勒,金蝉脱壳2：冥府,"美国, 中国大陆",allstar10 rating,"动作,惊悚",艾薇森

可以说是非常平庸的一部典型好莱坞式乱炖了，混乱的故事线靠着大量原地打转的话痨苦撑到了90分钟，粗劣的特效与美工让整体的水准较上一部天壤之别，而作为最大看点的几位硬汉只是走走过场沦为陪衬更是让人大呼坑爹。教主尽力了，然而咏春打不过甄子丹也就算了，为啥英语也说不过奚梦瑶呢。,2018-06-16,100,史蒂芬·C·米勒,金蝉脱壳2：冥府,"美国, 中国大陆",allstar10 rating,"动作,惊悚",Dr.Ray

史泰龙运筹帷幄，黄晓明策马化腾。,2018-06-15,88,史蒂芬·C·米勒,金蝉脱壳2：冥府,"美国, 中国大陆",allstar30 rating,"动作,惊悚",寒狐传媒

